,0
957,200.0
958,145.0
959,192.0
960,200.0
961,200.0
962,167.0
963,147.0
964,200.0
965,169.0
966,200.0
967,198.0
968,200.0
969,161.0
970,186.0
971,200.0
972,185.0
973,200.0
974,179.0
975,140.0
976,200.0
977,200.0
978,172.0
979,200.0
980,200.0
981,200.0
982,200.0
983,200.0
984,200.0
985,185.0
986,174.0
987,126.0
988,154.0
989,200.0
990,200.0
991,200.0
992,200.0
993,200.0
994,174.0
995,200.0
996,174.0
997,169.0
998,147.0
999,141.0
